,MK,MKH,Kb,Ka,cont
PPP1R2,5358,6121,6735,7331,8656
ENSG00000207161,0,0,0,0,0
RNU6-686P,0,0,0,0,0
NEK2,8863,9164,10050,10541,11540
STARD7,24594,15842,24529,23661,26072
RN7SKP33,0,0,0,0,0
ENSG00000260922,0,0,0,0,0
ENSG00000278357,0,0,0,0,0
RNU7-147P,0,0,0,0,0
VN2R10P,0,1,0,1,0
RNU6-1169P,0,1,0,0,0
ENSG00000274005,0,0,0,0,0
RNU6-235P,0,0,0,0,0
ENSG00000223023,0,0,1,2,0
TDP2,4973,4213,4930,6097,5904
RNU6-525P,0,0,0,0,1
ENSG00000264153,0,0,0,0,0
SNORD26,0,0,0,0,0
ENSG00000264379,0,0,0,0,0
ENSG00000273596,0,0,0,0,0
ENSG00000274008,0,3,0,0,0
RNU6-925P,0,5,1,1,4
MIR329-2,0,0,0,0,0
RNU6-959P,0,0,0,0,0
ENSG00000199282,0,0,0,0,0
RNY1P6,0,0,0,0,0
ENSG00000202041,0,0,0,0,0
RNA5SP370,0,0,0,2,0
RNU6-634P,0,0,0,0,0
SNORD115-4,0,0,0,0,0
MIR3122,0,3,3,8,3
MIR8057,0,0,0,0,0
ENSG00000202144,0,0,0,0,1
RNA5SP205,0,0,0,0,0
ENSG00000248911,0,0,0,0,0
MIR6752,0,0,0,0,0
RN7SL652P,2,6,10,6,2
MIR185,0,0,0,1,0
ENSG00000233427,2,1,3,0,5
PAQR3,3330,2984,3180,5453,4768
ENSG00000243215,0,0,0,0,0
RNU7-193P,0,0,0,0,0
ENSG00000207209,0,0,0,0,0
MIR2681,0,0,0,0,0
ENSG00000267665,0,0,0,0,2
ENSG00000201388,1,4,1,2,5
ENSG00000266191,0,0,0,0,0
ENSG00000275293,1,0,1,1,0
ENSG00000275117,0,0,0,0,0
RNU6-915P,2,2,4,2,1
ENSG00000238906,2,0,0,1,0
ENSG00000249515,0,0,0,0,0
MIR4667,0,0,0,1,2
MIR4789,0,0,0,0,0
MIR574,7,10,19,4,13
ENSG00000248928,0,0,0,0,0
SNORD115-18,0,0,0,0,0
ENSG00000199550,5,1,4,3,2
EEF1A1P20,0,0,0,0,0
ENSG00000274799,8,8,0,11,5
ENSG00000267640,0,0,0,0,0
MIR550A3,0,0,2,0,0
MTND6P22,0,1,0,0,0
ENSG00000276823,5,1,5,8,2
RNU6-635P,0,0,0,0,0
ENSG00000252420,0,0,0,0,1
ENSG00000256494,0,0,0,0,0
RNU1-112P,0,0,0,0,0
ENSG00000252319,0,2,0,1,0
RN7SL675P,0,0,0,0,0
ENSG00000206649,0,0,1,0,0
ENSG00000280427,0,0,0,0,0
ENSG00000273573,0,0,0,0,0
MIR6757,6,1,6,4,1
ENSG00000278086,0,0,0,0,0
RNA5SP61,0,0,1,1,0
RN7SL481P,5,3,18,11,8
MIR1249,3,1,1,0,2
ENSG00000212411,0,3,1,1,1
ZNF790,1189,998,1049,1101,1314
ENSG00000257456,0,0,0,0,0
ENSG00000207516,0,0,0,0,0
RPL7AP73,0,0,0,2,0
RN7SKP93,4,0,0,0,0
ENSG00000276296,0,0,0,0,0
ENSG00000275877,0,0,1,0,0
CDCA4P2,0,0,0,0,0
ENSG00000201006,0,0,0,0,0
ENSG00000251830,0,0,0,0,0
ENSG00000253233,0,0,0,0,0
RN7SKP247,0,0,0,0,0
ENSG00000263896,0,0,0,0,0
ENSG00000273961,0,0,0,0,0
RNU6-986P,0,0,1,1,1
ENSG00000253028,0,0,0,0,0
RNU6-604P,0,0,0,0,0
RNA5SP523,0,0,0,0,0
ENSG00000201701,0,0,0,0,0
OR52I1,2,1,7,1,1
ENSG00000238723,1,1,1,2,1
RNU6-474P,0,0,1,0,0
RNA5SP454,0,0,0,0,0
ENSG00000275006,0,0,0,0,0
RNU6-17P,0,0,0,0,0
ENSG00000199459,2,1,1,1,2
ENSG00000278190,0,0,0,0,0
RNU6-1152P,0,0,0,0,0
OR7G2,0,0,0,0,0
SNORD114-31,0,0,0,0,0
ENSG00000207430,0,0,0,0,0
ENSG00000276100,0,0,0,0,0
ENSG00000254027,4,16,3,32,8
