gene;gene_id
ENSG00000277121;ENSG00000277121
ENSG00000277123;ENSG00000277123
ENSG00000264721;ENSG00000264721
ENSG00000259888;ENSG00000259888
ENSG00000264183;ENSG00000264183
ENSG00000281779;ENSG00000281779
ENSG00000280914;ENSG00000280914
ENSG00000280915;ENSG00000280915
ENSG00000201126;ENSG00000201126
ENSG00000265320;ENSG00000265320
ENSG00000276737;ENSG00000276737
ENSG00000274335;ENSG00000274335
ENSG00000212067;ENSG00000212067
ENSG00000221121;ENSG00000221121
ENSG00000267701;ENSG00000267701
ENSG00000263636;ENSG00000263636
ENSG00000259159;ENSG00000259159
ENSG00000275076;ENSG00000275076
ENSG00000278423;ENSG00000278423
ENSG00000278841;ENSG00000278841
ENSG00000272792;ENSG00000272792
ENSG00000236983;ENSG00000236983
ENSG00000273689;ENSG00000273689
ENSG00000278309;ENSG00000278309
ENSG00000243350;ENSG00000243350
ENSG00000264544;ENSG00000264544
ENSG00000265280;ENSG00000265280
ENSG00000221326;ENSG00000221326
ENSG00000221320;ENSG00000221320
ENSG00000251933;ENSG00000251933
ENSG00000274030;ENSG00000274030
ENSG00000273823;ENSG00000273823
ENSG00000237726;ENSG00000237726
ENSG00000281467;ENSG00000281467
ENSG00000257110;ENSG00000257110
ENSG00000264453;ENSG00000264453
ENSG00000264677;ENSG00000264677
ENSG00000280729;ENSG00000280729
ENSG00000280727;ENSG00000280727
ENSG00000276751;ENSG00000276751
ENSG00000200833;ENSG00000200833
ENSG00000275446;ENSG00000275446
ENSG00000281035;ENSG00000281035
ENSG00000221432;ENSG00000221432
ENSG00000281372;ENSG00000281372
ENSG00000226684;ENSG00000226684
ENSG00000236310;ENSG00000236310
ENSG00000222722;ENSG00000222722
ENSG00000238787;ENSG00000238787
ENSG00000266082;ENSG00000266082
ENSG00000280598;ENSG00000280598
ENSG00000274781;ENSG00000274781
ENSG00000221602;ENSG00000221602
ENSG00000242631;ENSG00000242631
ENSG00000266859;ENSG00000266859
ENSG00000273781;ENSG00000273781
ENSG00000278435;ENSG00000278435
ENSG00000221555;ENSG00000221555
ENSG00000276330;ENSG00000276330
ENSG00000221048;ENSG00000221048
ENSG00000263577;ENSG00000263577
ENSG00000238844;ENSG00000238844
ENSG00000277593;ENSG00000277593
ENSG00000265054;ENSG00000265054
ENSG00000280413;ENSG00000280413
ENSG00000252131;ENSG00000252131
ENSG00000265898;ENSG00000265898
ENSG00000258946;ENSG00000258946
ENSG00000263064;ENSG00000263064
ENSG00000275943;ENSG00000275943
ENSG00000265049;ENSG00000265049
ENSG00000278203;ENSG00000278203
